,ESP-1,ESP-2,ESP-3,mean
1.0,107.1029659069874,87.83077245987796,29.15048163743912,74.69474000143482
1.01,100.82745452016685,82.58357363377382,27.438123496226027,70.28305055005556
1.02,95.01982714370855,77.73639931061179,25.853599530498595,66.20327532827298
1.03,89.63752186068656,73.25201260909228,24.385313353739146,62.42494927450599
1.04,84.6424457106412,69.0979260616488,23.02375578230611,58.92137585153205
1.05,80.00061076993956,65.24416328944237,21.758900414521815,55.66789149130125
1.06,75.6816027217649,61.66402275023848,20.582682395369886,52.64276928912442
1.07,71.65791426499001,58.33368513532599,19.48846187222146,49.826687090845816
1.08,67.90526102003427,55.23167707874533,18.467309506553647,47.20141586844442
1.09,64.40124802585648,52.338873839878104,17.513779672761757,44.75130051283211
1.1,61.12551470981459,49.63811532244898,16.6231732401978,42.46226775748712
1.11,58.05970835333545,47.113600791291496,15.7896697386744,40.32099296110045
1.12,55.18751722390923,44.7509439796923,15.007998649046938,38.31548661754949
1.1300000000000001,52.493383015531734,42.53740415768422,14.274240025489414,36.435009066235125
1.1400000000000001,49.96396419726523,40.46139969343307,13.585723694497673,34.670362528398655
1.1500000000000001,47.58679724013016,38.5121424965371,12.939216492475053,33.01271874304744
1.1600000000000001,45.35029087973939,36.68019918535116,12.331071572398244,31.45385387916293
1.1700000000000002,43.24396099624873,34.957065528132155,11.758717039553582,29.98658118797816
1.1800000000000002,41.25880561073467,33.33430203061912,11.219710333389,28.604272658247595
1.1900000000000002,39.385819908604965,31.80460063018524,10.711531981395908,27.300650840062037
1.2000000000000002,37.617247297229454,30.362683147481587,10.231392720520342,26.07044105507713
1.2100000000000002,35.94558745101358,29.00110493595646,9.778628082510533,24.908440156493526
1.2200000000000002,34.364471941637326,27.714190566071963,9.352086910553345,23.810249806087544
1.2300000000000002,32.867809756457184,26.49688569800426,8.948819327310023,22.77117159392382
1.2400000000000002,31.449645789392438,25.34458505682894,8.566668829495732,21.786966558572374
1.2500000000000002,30.104819371158182,24.252990163282835,8.205761654786128,20.854523729742382
1.2600000000000002,28.828886432153308,23.217874339066377,7.864257811819939,19.970339527679872
1.2700000000000002,27.61758998674286,22.23560015162697,7.5423814824454425,19.131857206938424
1.2800000000000002,26.466380844028546,21.302786806510422,7.24017349944879,18.336447049995922
1.2900000000000003,25.371783048271514,20.416447676041155,6.954518100672224,17.580916274994966
1.3000000000000003,24.330382689921397,19.573567130633872,6.683959001650462,16.862636274068578
1.3100000000000003,23.338995349207533,18.77143591349742,6.427340936936186,16.179257399880377
1.3200000000000003,22.395068049914453,18.007577855419406,6.1859751500164695,15.52954035178344
1.3300000000000003,21.495246528098743,17.279689281762487,5.958845072123262,14.91126029399483
1.3400000000000003,20.637324472554017,16.586053627236634,5.743562235125291,14.32231344497198
1.3500000000000003,19.818594501196483,15.924608961883521,5.540076272267838,13.76109324511595
1.3600000000000003,19.036734518778278,15.293016482947074,5.348480679265009,13.226077226996788
1.3700000000000003,18.2896999579433,14.689855189186957,5.167560602293932,12.715705249808062
1.3800000000000003,17.575835191756443,14.116338858146682,4.996211078820579,12.229461709574567
1.3900000000000003,16.893075543910044,13.572015098221165,4.834642100523814,11.766577580885007
1.4000000000000004,16.240021648486078,13.055354586159016,4.681908754720108,11.325761663121733
1.4100000000000004,15.61478698529882,12.564176101906543,4.5370380212153165,10.905333702806894
1.4200000000000004,15.016383419359936,12.097241108371746,4.401627114812009,10.505083880847897
1.4300000000000004,14.444199426885417,11.652002511703463,4.27385507489773,10.12335233782887
1.4400000000000004,13.89622577482218,11.226590790336564,4.153268926927209,9.758695164028651
1.4500000000000004,13.37152587454718,10.820838761932537,4.04014174625527,9.410835460911661
1.4600000000000004,12.869347836934054,10.43355311350245,3.9339236403043607,9.078941530246954
